Day of the Week,Field Contact Date,Street Number,Street Name,City
Thu,10/04/2018 04:02:00 AM,2100,WESLEY AV,EVANSTON
Wed,10/03/2018 04:24:00 PM,1000,DODGE AV,EVANSTON
Wed,10/03/2018 12:43:00 PM,600,DAVIS ST,EVANSTON
Tue,10/02/2018 06:32:00 PM,1500,DEWEY AV,EVANSTON
Sun,09/30/2018 04:16:00 PM,800,INGLESIDE PL,EVANSTON
Sat,09/29/2018 05:27:00 PM,1600,SHERMAN AV,EVANSTON
Fri,09/28/2018 10:17:00 PM,1500,LYONS ST/ASHLAND AV,EVANSTON
Thu,09/27/2018 06:57:00 PM,600,HOWARD ST,EVANSTON
Thu,09/27/2018 04:40:00 PM,100,RIDGE AV,EVANSTON
Wed,09/26/2018 02:03:00 PM,1800,W HOWARD ST,CHICAGO
Wed,09/26/2018 12:07:00 PM,400,HOWARD ST,EVANSTON
Wed,09/26/2018 12:07:00 PM,400,HOWARD ST,EVANSTON
Wed,09/26/2018 01:10:00 AM,2000,FOSTER ST,EVANSTON
Tue,09/25/2018 10:40:00 PM,300,RIDGE AV,EVANSTON
Tue,09/25/2018 10:32:00 PM,300,RIDGE AV,EVANSTON
Tue,09/25/2018 09:02:00 PM,1800,EMERSON ST,EVANSTON
Tue,09/25/2018 03:29:00 PM,2000,W HOWARD ST,CHICAGO
Tue,09/25/2018 03:00:00 PM,,BIRCHWOOD/CALRK,CHICAGO
Mon,09/24/2018 09:30:00 PM,100,RIDGE AV,EVANSTON
Mon,09/24/2018 09:30:00 PM,100,RIDGE AV,EVANSTON
Mon,09/24/2018 08:24:00 PM,1300,DODGE AV,EVANSTON
Mon,09/24/2018 08:23:00 PM,,HOWARD ST/MCCORMICK,CHICAGO
Mon,09/24/2018 04:59:00 PM,0,HOWARD ST,CHICAGO
Sun,09/23/2018 07:18:00 PM,1000,MAPLE AV,EVANSTON
Sun,09/23/2018 03:10:00 PM,1600,GREENLEAF ST,EVANSTON
Sun,09/23/2018 02:06:00 AM,,DEMPSTER/E PRAIRE,SKOKIE
Fri,09/21/2018 04:57:00 PM,100,CLYDE AV,EVANSTON
Fri,09/21/2018 04:56:00 PM,7500,N. SEELEY,CHICAGO
Thu,09/20/2018 07:48:00 PM,7500,N. DAMEN,CHICAGO
Thu,09/20/2018 07:45:00 PM,7500,N. DAMEN,CHICAGO
Wed,09/19/2018 12:52:00 PM,1900,FOSTER ST,EVANSTON
Tue,09/18/2018 02:59:00 PM,1000,WASHINGTON ST,EVANSTON
Sat,09/15/2018 11:42:00 PM,1800,LELAND AV,EVANSTON
Sat,09/15/2018 02:23:00 AM,1800,LELAND AV,EVANSTON
Sat,09/15/2018 02:23:00 AM,1800,LELAND AV,EVANSTON
Fri,09/14/2018 01:23:00 AM,1900,OAKTON ST,EVANSTON
Thu,09/13/2018 06:50:00 PM,1300,HARTREY AV,EVANSTON
Thu,09/13/2018 03:47:00 PM,700,MONROE ST,EVANSTON
Wed,09/12/2018 07:25:00 PM,1900,MAIN ST,EVANSTON
Wed,09/12/2018 03:04:00 PM,1900,EMERSON ST,EVANSTON
Wed,09/12/2018 10:29:00 AM,1200,DODGE AV,EVANSTON
Wed,09/12/2018 09:37:00 AM,700,CHURCH ST/ORRINGTON AV,EVANSTON
Mon,09/10/2018 10:37:00 PM,1700,SHERMAN AV,EVANSTON
Mon,09/10/2018 07:15:00 AM,,CHICAGO AV/JUNEWAY TER,CHICAGO
Sat,09/08/2018 05:15:00 PM,1600,CHICAGO AV,EVANSTON
Fri,09/07/2018 08:54:00 PM,1400,GREY AV,EVANSTON
Fri,09/07/2018 05:00:00 PM,1600,SHERMAN AV,EVANSTON
Fri,09/07/2018 03:28:00 AM,1100,RIDGE AV/GREENLEAF ST,EVANSTON
Sat,09/01/2018 07:09:00 AM,800,MILBURN ST,EVANSTON
Fri,08/31/2018 11:12:00 AM,500,HOWARD ST,EVANSTON
Fri,08/31/2018 10:50:00 AM,7400,N CLARK,CHICAGO
Sun,08/26/2018 06:32:00 PM,2500,EMERSON ST,EVANSTON
Thu,08/23/2018 09:48:00 PM,600,SHERMAN AV,EVANSTON
Wed,08/22/2018 06:30:00 PM,1700,BENSON AV/CHURCH ST,EVANSTON
Wed,08/22/2018 11:11:00 AM,1200,OAK AV,EVANSTON
Wed,08/22/2018 11:11:00 AM,1200,OAK AV,EVANSTON
Wed,08/22/2018 11:11:00 AM,1200,OAK AV,EVANSTON
Wed,08/22/2018 10:21:00 AM,,OAKTON/MONTICELLO,SKOKIE
Wed,08/22/2018 09:49:00 AM,,OAKTON/MCCORMICK,
Wed,08/22/2018 09:37:00 AM,,OAKTON/MCCORMICK,
Mon,08/20/2018 02:18:00 PM,1400,FOWLER AV,EVANSTON
Sun,08/19/2018 06:24:00 PM,1700,BROWN AV,EVANSTON
Sun,08/19/2018 03:13:00 PM,1500,W HOWARD,CHICAGO
Sat,08/18/2018 11:36:00 AM,900,DAVIS ST,EVANSTON
Sat,08/18/2018 11:36:00 AM,900,DAVIS ST,EVANSTON
Fri,08/17/2018 09:34:00 AM,1600,BENSON AV,EVANSTON
Fri,08/17/2018 09:04:00 AM,1600,W. HOWARD,CHICAGO
Thu,08/16/2018 05:01:00 AM,1400,HINMAN AV,EVANSTON
Thu,08/16/2018 04:55:00 AM,1400,HINMAN AV,EVANSTON
Wed,08/15/2018 01:20:00 AM,1500,HOWARD ST,EVANSTON
Tue,08/14/2018 11:20:00 PM,1000,SEWARD ST/RIDGE AV,EVANSTON
Tue,08/14/2018 10:18:00 PM,2700,PRINCETON AV,EVANSTON
Tue,08/14/2018 10:17:00 PM,2700,PRINCETON AV,EVANSTON
Tue,08/14/2018 10:12:00 PM,2700,PRINCETON AV,EVANSTON
Tue,08/14/2018 04:18:00 PM,2000,DODGE AV,EVANSTON
Mon,08/13/2018 11:10:00 PM,800,CHICAGO AV/KEDZIE ST,EVANSTON
Mon,08/13/2018 07:38:00 PM,500,HOWARD,
Sat,08/11/2018 07:00:00 PM,2000,DEWEY AV,EVANSTON
Sat,08/11/2018 04:22:00 PM,100,CUSTER AV,EVANSTON
Thu,08/09/2018 09:25:00 PM,500,DEWEY AV,EVANSTON
Wed,08/08/2018 06:52:00 PM,1700,DODGE AV,EVANSTON
Mon,08/06/2018 04:38:00 PM,1900,OAKTON ST,EVANSTON
Fri,08/03/2018 10:35:00 PM,100,ELMWOOD AV,EVANSTON
Fri,08/03/2018 09:33:00 AM,,POPLAR/ISABELLA,
Thu,08/02/2018 04:35:00 PM,2800,RIDGE AV,EVANSTON
Wed,08/01/2018 08:18:00 PM,300,CUSTER AV,EVANSTON
Wed,08/01/2018 03:15:00 PM,1600,MONROE ST,EVANSTON
Mon,07/30/2018 08:49:00 PM,1100,HINMAN AV,EVANSTON
Mon,07/30/2018 05:58:00 PM,100,RIDGE AV,EVANSTON
Mon,07/30/2018 05:58:00 PM,100,RIDGE AV,EVANSTON
Mon,07/30/2018 05:58:00 PM,100,RIDGE AV,EVANSTON
Mon,07/30/2018 01:12:00 AM,1600,SIMPSON ST,EVANSTON
Sat,07/28/2018 08:11:00 PM,1300,OAK AV/DEMPSTER ST,EVANSTON
Sat,07/28/2018 06:22:00 PM,1100,HOWARD ST,EVANSTON
Sat,07/28/2018 03:59:00 PM,2200,OAKTON ST,EVANSTON
Sat,07/28/2018 10:59:00 AM,900,FOSTER ST,EVANSTON
Thu,07/26/2018 02:27:00 AM,1200,DEMPSTER ST,EVANSTON
Thu,07/26/2018 02:24:00 AM,1200,DEMPSTER ST,EVANSTON
Thu,07/26/2018 02:19:00 AM,1200,DEMPSTER ST,EVANSTON
Thu,07/26/2018 12:41:00 AM,1200,DEMPSTER ST,EVANSTON
Wed,07/25/2018 07:26:00 PM,300,CALLAN AV,EVANSTON
Wed,07/25/2018 07:16:00 PM,300,CALLAN AV,EVANSTON
Wed,07/25/2018 05:19:00 PM,1200,LEE ST,EVANSTON
Tue,07/24/2018 08:13:00 PM,1400,EMERSON ST,EVANSTON
Tue,07/24/2018 05:52:00 AM,3300,HOWARD ST/MC CORMICK BL,SKOKIE
Sun,07/22/2018 11:45:00 PM,1800,LELAND AV,EVANSTON
Wed,07/18/2018 08:38:00 PM,3500,DEMPSTER ST,SKOKIE
Wed,07/18/2018 02:28:00 PM,1800,HOWARD STREET,CHICAGO
Wed,07/18/2018 10:15:00 AM,1300,PITNER AV,EVANSTON
Wed,07/18/2018 10:15:00 AM,1300,PITNER AV,EVANSTON
Wed,07/18/2018 10:15:00 AM,1300,PITNER AV,EVANSTON
Tue,07/17/2018 08:04:00 PM,2000,EMERSON ST,EVANSTON
Sun,07/15/2018 08:47:00 PM,,HOWARD ST/CUSTER AV,
Sun,07/15/2018 05:13:00 PM,1800,FOSTER ST,EVANSTON
Sun,07/15/2018 01:08:00 AM,1900,RIDGE AV/GREEN BAY RD,EVANSTON
Fri,07/13/2018 08:30:00 PM,600,CLARK ST,EVANSTON
Fri,07/13/2018 03:35:00 AM,800,HOWARD ST/ELMWOOD AV,EVANSTON
Fri,07/13/2018 02:25:00 AM,800,HOWARD ST/ELMWOOD AV,EVANSTON
Thu,07/12/2018 04:51:00 PM,100,ASBURY AV,EVANSTON
Wed,07/11/2018 09:12:00 PM,2700,GROSS POINT RD,EVANSTON
Tue,07/10/2018 02:33:00 AM,2100,DARROW AV,EVANSTON
Mon,07/09/2018 04:58:00 PM,7400,N WESTERN AV,CHICAGO
Mon,07/09/2018 03:31:00 PM,1400,DOBSON ST,EVANSTON
Sun,07/08/2018 07:39:00 PM,1400,HARTREY AV,EVANSTON
Sat,07/07/2018 04:59:00 PM,2100,WESLEY AV,EVANSTON
Fri,07/06/2018 12:41:00 AM,1700,CHICAGO AV,EVANSTON
Thu,07/05/2018 01:14:00 AM,2400,CENTRAL ST,EVANSTON
Thu,07/05/2018 01:14:00 AM,2400,CENTRAL ST,EVANSTON
