Arrest Key,Relates Incident Number,Day of the Week,Arrest Date,Arrest Time,Age,Sex,Race,Ethnicity,Arrest Type,Weapon Code,Street Number,Street Name,City,Location
49625,18011452,Mon,12/24/2018 12:00:00 AM,1333,43,Female,White,,Warrant,None,1000,DAVIS ST,EVANSTON,"(42.04705917282921, -87.68591346856846)"
49626,18010306,Sun,12/23/2018 12:00:00 AM,1217,23,Male,White,,,None,1500,ELMWOOD AV,EVANSTON,"(42.0460107307921, -87.68378492477495)"
49627,18011427,Sun,12/23/2018 12:00:00 AM,1656,16,Female,White,,Taken into Custody,None,2200,HOWARD ST,EVANSTON,"(42.019211376364495, -87.705482830181)"
49628,18011492,Wed,12/26/2018 12:00:00 AM,1615,42,Female,Black,,On View,None,1900,DODGE AV,EVANSTON,"(42.05295346336588, -87.69889634805092)"
49629,18007685,Fri,12/21/2018 12:00:00 AM,1000,25,Male,Black,,Taken into Custody,,1500,ELMWOOD AV,EVANSTON,"(42.0460107307921, -87.68378492477495)"
49630,18005587,Tue,12/11/2018 12:00:00 AM,1930,26,Male,White,,Taken into Custody,Unknown,3000,W. CHICAGO AVE.,CHICAGO,
49631,18002489,Tue,12/11/2018 12:00:00 AM,1930,26,Male,White,,Taken into Custody,Unknown,3000,W. CHICAGO AVE,CHICAGO,
49632,18010502,Sat,12/22/2018 12:00:00 AM,1300,63,Male,Black,,Taken into Custody,Knife/Cutting Instrument,800,CHURCH ST,EVANSTON,"(42.048460705224265, -87.6826034124509)"
49633,18007351,Thu,12/27/2018 12:00:00 AM,728,38,Female,Black,Not Hispanic,Warrant,None,500,DES PLAINES AVE,FOREST PARK,
49634,18011366,Fri,12/21/2018 12:00:00 AM,1620,63,Male,Black,,On View,Knife/Cutting Instrument,800,CHURCH ST,EVANSTON,"(42.048460705224265, -87.6826034124509)"
49635,18011519,Thu,12/27/2018 12:00:00 AM,1933,31,Male,Black,,Taken into Custody,,1700,ORRINGTON AV,EVANSTON,"(42.04911412362465, -87.68035607867104)"
49636,18011528,Thu,12/27/2018 12:00:00 AM,2028,59,Male,White,,Taken into Custody,None,1500,LINCOLN ST/JACKSON AV,EVANSTON,"(42.06216072979129, -87.6930106564641)"
49637,18011529,Thu,12/27/2018 12:00:00 AM,2100,24,Male,White,,On View,None,1700,HINMAN AV,EVANSTON,"(42.04813580388738, -87.67680429040097)"
